,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,pp1,pp2,pp3,pp4,bin,rand,action, shares , value ,,bin,buy,hold,sell,,
58,4/21/2021 1:10,55666.14,55783.625,56035.41,55511.73085,0,reg,FALSE,BTCUSD,hold,0.161755782,0.304009235,0.196490243,0.192700856,50,0.033852632,buy, 0.00178 , $-   ,,59,0%,0%,100%,,
59,4/21/2021 1:15,55783.625,55814.35,55924.965,55433.15,0,reg,FALSE,BTCUSD,hold,0.606552191,0.256202731,-0.027536546,-0.129039431,77,0.670014445,sell, -   , $99.47 ,,60,0%,25%,75%,,
60,4/21/2021 1:20,55814.35,56004.86,56041.565,55492.765,0,reg,FALSE,BTCUSD,hold,0.158539874,-0.258055095,-0.296212508,-0.154757354,29,0.972471481,sell, -   , $99.47 ,,61,,,,,
61,4/21/2021 1:25,55865.555,55936.545,56109.45,55690.605,0,reg,FALSE,BTCUSD,hold,0.263973749,0.060729912,0.183620164,0.276383619,69,0.234452326,hold, -   , $99.47 ,,62,,,,,
62,4/21/2021 1:30,55936.545,55885.065,56124.735,55729.88,0,reg,FALSE,BTCUSD,hold,0.365505592,0.058482342,-0.0012946,-0.106510904,68,0.867457642,sell, -   , $99.47 ,,63,0%,100%,0%,,
63,4/21/2021 1:35,56025.975,55937.985,56146.995,55705.27,0,reg,FALSE,BTCUSD,hold,0.459712482,0.054263168,-0.002430244,-0.000654131,68,0.995774678,sell, -   , $99.47 ,,64,0%,40%,60%,,
64,4/21/2021 1:40,56081.075,55928.89,56169.125,55673.82,0,reg,FALSE,BTCUSD,sell,0.282961765,-0.101808413,-0.089897231,-0.050380984,68,0.445459456,sell, -   , $99.47 ,,65,0%,33%,67%,,
65,4/21/2021 1:45,55786.405,55959.215,56190.4,55741.285,0,reg,FALSE,BTCUSD,buy,-1.521248055,-1.039224857,-0.539951873,-0.259231474,1,0.857545866,hold, -   , $99.47 ,,66,,,,,
66,4/21/2021 1:50,55959.215,56105.41,56254.1,55761.67,0,reg,FALSE,BTCUSD,hold,0.889384884,1.388524571,1.398383669,1.116481271,81,0.34101189,hold, -   , $99.47 ,,67,0%,38%,63%,,
67,4/21/2021 1:55,56105.41,56144.805,56459.855,55919.675,0,reg,FALSE,BTCUSD,hold,0.750447417,-0.080027981,-0.845886271,-1.292699486,64,0.279920499,hold, -   , $99.47 ,,68,0%,35%,65%,,
68,4/21/2021 2:00,56144.805,56058.7,56288.545,55872.245,0,reg,FALSE,BTCUSD,sell,0.202080317,-0.31585945,-0.135838926,0.40898727,60,0.474170092,sell, -   , $99.47 ,,69,0%,35%,65%,,
69,4/21/2021 2:05,55914.165,56090.585,56258.765,55878.95,0,reg,FALSE,BTCUSD,buy,-1.187969454,-0.800668669,-0.279250111,-0.082604842,2,0.753136355,hold, -   , $99.47 ,,70,,,,,
