,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,shares, value ,action,shares, value ,action,shares, value ,action,shares, value 
1004,2021-04-16T10:10:00Z,0.268164,0.266862,0.27028,0.264464,0,reg,FALSE,DOGEUSD,sell,0," $93,197.11 ",hold,447.8592937, $-   ,sell,0, $164.64 ,hold,1393.301009, $-   
1005,2021-04-16T10:15:00Z,0.266862,0.27187,0.276013,0.264486,0,reg,FALSE,DOGEUSD,buy,349233.3585, $-   ,hold,447.8592937, $-   ,hold,0, $164.64 ,buy,1393.301009, $-   
1006,2021-04-16T10:20:00Z,0.27187,0.276932,0.278224,0.267063,0,reg,FALSE,DOGEUSD,hold,349233.3585, $-   ,hold,447.8592937, $-   ,hold,0, $164.64 ,hold,1393.301009, $-   
1007,2021-04-16T10:25:00Z,0.276932,0.272549,0.27736,0.268618,0,reg,FALSE,DOGEUSD,sell,0," $96,713.89 ",hold,447.8592937, $-   ,sell,0, $164.64 ,hold,1393.301009, $-   
1008,2021-04-16T10:30:00Z,0.272549,0.274368,0.276818,0.266632,0,reg,FALSE,DOGEUSD,buy,354849.5589, $-   ,hold,447.8592937, $-   ,hold,0, $164.64 ,buy,1393.301009, $-   
1009,2021-04-16T10:35:00Z,0.273148,0.276697,0.281719,0.270912,0,reg,FALSE,DOGEUSD,hold,354849.5589, $-   ,hold,447.8592937, $-   ,hold,0, $164.64 ,hold,1393.301009, $-   
1010,2021-04-16T10:40:00Z,0.275451,0.275006,0.279552,0.269347,0,reg,FALSE,DOGEUSD,sell,0," $97,743.67 ",hold,447.8592937, $-   ,hold,0, $164.64 ,hold,1393.301009, $-   
1011,2021-04-16T10:45:00Z,0.275006,0.276632,0.277757,0.269694,0,reg,FALSE,DOGEUSD,buy,355423.7575, $-   ,hold,447.8592937, $-   ,hold,0, $164.64 ,buy,1393.301009, $-   
1012,2021-04-16T10:50:00Z,0.275449,0.289797,0.290703,0.274563,0,reg,FALSE,DOGEUSD,hold,355423.7575, $-   ,hold,447.8592937, $-   ,hold,0, $164.64 ,hold,1393.301009, $-   
1013,2021-04-16T10:55:00Z,0.289797,0.279995,0.291824,0.277648,0,reg,FALSE,DOGEUSD,sell,0," $103,000.74 ",hold,447.8592937, $-   ,hold,0, $164.64 ,hold,1393.301009, $-   
1014,2021-04-16T11:00:00Z,0.279995,0.295684,0.298216,0.279344,0,reg,FALSE,DOGEUSD,buy,367866.35, $-   ,hold,447.8592937, $-   ,hold,0, $164.64 ,buy,1393.301009, $-   
1015,2021-04-16T11:05:00Z,0.295684,0.312992,0.329371,0.294176,0,reg,FALSE,DOGEUSD,hold,367866.35, $-   ,hold,447.8592937, $-   ,hold,0, $164.64 ,hold,1393.301009, $-   
1016,2021-04-16T11:10:00Z,0.312992,0.316851,0.31876,0.304012,0,reg,FALSE,DOGEUSD,hold,367866.35, $-   ,hold,447.8592937, $-   ,sell,0, $164.64 ,hold,1393.301009, $-   
1017,2021-04-16T11:15:00Z,0.315384,0.326301,0.328147,0.307942,0,reg,FALSE,DOGEUSD,hold,367866.35, $-   ,sell,0, $141.25 ,sell,0, $164.64 ,hold,1393.301009, $-   
1018,2021-04-16T11:20:00Z,0.326301,0.31786,0.333181,0.308806,0,reg,FALSE,DOGEUSD,sell,0," $120,035.16 ",hold,0, $141.25 ,hold,0, $164.64 ,hold,1393.301009, $-   
1019,2021-04-16T11:25:00Z,0.31786,0.310274,0.321403,0.279987,0,reg,FALSE,DOGEUSD,hold,0," $120,035.16 ",hold,0, $141.25 ,hold,0, $164.64 ,buy,1393.301009, $-   
1020,2021-04-16T11:30:00Z,0.310274,0.293559,0.315629,0.288277,0,reg,FALSE,DOGEUSD,hold,0," $120,035.16 ",hold,0, $141.25 ,buy,530.6415695, $-   ,buy,1393.301009, $-   
1021,2021-04-16T11:35:00Z,0.29245,0.299881,0.306694,0.290604,0,reg,FALSE,DOGEUSD,buy,410446.7699, $-   ,hold,0, $141.25 ,hold,530.6415695, $-   ,buy,1393.301009, $-   
1022,2021-04-16T11:40:00Z,0.299881,0.298313,0.304926,0.293099,0,reg,FALSE,DOGEUSD,sell,0," $123,085.19 ",hold,0, $141.25 ,hold,530.6415695, $-   ,hold,1393.301009, $-   
1023,2021-04-16T11:45:00Z,0.298313,0.294036,0.300429,0.290523,0,reg,FALSE,DOGEUSD,hold,0," $123,085.19 ",hold,0, $141.25 ,hold,530.6415695, $-   ,buy,1393.301009, $-   
1024,2021-04-16T11:50:00Z,0.292896,0.304237,0.311825,0.291901,0,reg,FALSE,DOGEUSD,buy,420235.1272, $-   ,hold,0, $141.25 ,hold,530.6415695, $-   ,buy,1393.301009, $-   
1025,2021-04-16T11:55:00Z,0.304237,0.305157,0.310729,0.299331,0,reg,FALSE,DOGEUSD,hold,420235.1272, $-   ,hold,0, $141.25 ,hold,530.6415695, $-   ,hold,1393.301009, $-   
1026,2021-04-16T12:00:00Z,0.305157,0.298541,0.308,0.294355,0,reg,FALSE,DOGEUSD,sell,0," $128,237.69 ",sell,0, $141.25 ,sell,0, $161.93 ,hold,1393.301009, $-   
1027,2021-04-16T12:05:00Z,0.298541,0.303829,0.306245,0.295662,0,reg,FALSE,DOGEUSD,buy,429548.0041, $-   ,hold,0, $141.25 ,hold,0, $161.93 ,buy,1393.301009, $-   
1028,2021-04-16T12:10:00Z,0.303829,0.303075,0.306578,0.296901,0,reg,FALSE,DOGEUSD,sell,0," $130,509.14 ",hold,0, $141.25 ,hold,0, $161.93 ,hold,1393.301009, $-   
1029,2021-04-16T12:15:00Z,0.303075,0.313558,0.315945,0.300741,0,reg,FALSE,DOGEUSD,buy,430616.6478, $-   ,hold,0, $141.25 ,hold,0, $161.93 ,buy,1393.301009, $-   
1030,2021-04-16T12:20:00Z,0.313558,0.317064,0.322629,0.309884,0,reg,FALSE,DOGEUSD,hold,430616.6478, $-   ,hold,0, $141.25 ,hold,0, $161.93 ,hold,1393.301009, $-   
1031,2021-04-16T12:25:00Z,0.317064,0.317846,0.320661,0.310579,0,reg,FALSE,DOGEUSD,sell,0," $136,533.04 ",sell,0, $141.25 ,sell,0, $161.93 ,hold,1393.301009, $-   
